Date,Open,High,Low,Close
2018-06-11,109.288,110.118,109.28,110.033
2018-06-12,110.033,110.494,109.954,110.372
2018-06-13,110.359,110.848,110.271,110.343
2018-06-14,110.327,110.693,109.916,110.623
2018-06-15,110.621,110.906,110.389,110.666
2018-06-18,110.665,110.734,110.3,110.548
2018-06-19,110.536,110.572,109.548,110.056
2018-06-20,110.052,110.453,109.855,110.357
2018-06-21,110.357,110.761,109.844,109.97
2018-06-22,109.98,110.22,109.804,109.988
2018-06-25,109.841,110.047,109.368,109.761
2018-06-26,109.757,110.218,109.369,110.024
2018-06-27,110.023,110.491,109.686,110.27
2018-06-28,110.247,110.652,109.968,110.496
2018-06-29,110.474,110.942,110.373,110.699
2018-07-02,110.605,111.06,110.551,110.883
2018-07-03,110.894,111.134,110.507,110.573
2018-07-04,110.575,110.606,110.276,110.489
2018-07-05,110.445,110.725,110.287,110.656
2018-07-06,110.579,110.787,110.38,110.477
2018-07-09,110.375,110.903,110.34,110.843
2018-07-10,110.846,111.353,110.758,111.047
2018-07-11,110.984,112.174,110.764,111.998
2018-07-12,111.991,112.628,111.915,112.525
2018-07-13,112.528,112.799,112.273,112.363
2018-07-16,112.209,112.563,112.188,112.276
2018-07-17,112.277,112.925,112.221,112.88
2018-07-18,112.857,113.136,112.707,112.84
2018-07-19,112.848,113.176,112.051,112.462
2018-07-20,112.459,112.625,111.383,111.444
2018-07-23,111.374,111.543,110.75,111.352
2018-07-24,111.334,111.516,110.963,111.208
2018-07-25,111.188,111.384,110.666,110.963
2018-07-26,110.969,111.251,110.59,111.232
2018-07-27,111.217,111.252,110.794,111.002
2018-07-30,110.924,111.163,110.887,111.059
2018-07-31,111.007,111.959,110.728,111.865
2018-08-01,111.814,112.149,111.387,111.711
2018-08-02,111.715,111.734,111.313,111.64
2018-08-03,111.639,111.877,111.101,111.271
2018-08-06,111.215,111.528,111.152,111.401
2018-08-07,111.404,111.481,110.994,111.38
2018-08-08,111.368,111.439,110.836,110.951
2018-08-09,110.963,111.183,110.707,111.084
2018-08-10,111.059,111.17,110.509,110.888
2018-08-13,110.43,110.943,110.112,110.721
2018-08-14,110.659,111.314,110.588,111.146
2018-08-15,111.135,111.429,110.429,110.738
2018-08-16,110.74,111.126,110.461,110.9
2018-08-17,110.884,111.05,110.313,110.516
2018-08-20,110.581,110.681,110.015,110.07
2018-08-21,110.064,110.546,109.772,110.267
2018-08-22,110.267,110.613,110.024,110.549
2018-08-23,110.544,111.317,110.519,111.294
2018-08-24,111.268,111.49,111.105,111.257
2018-08-27,111.313,111.348,110.936,111.076
2018-08-28,111.071,111.357,110.957,111.197
2018-08-29,111.19,111.828,111.123,111.68
2018-08-30,111.675,111.754,110.952,111.022
2018-08-31,110.967,111.137,110.688,111.107
2018-09-03,111.05,111.186,110.848,111.106
2018-09-04,111.015,111.53,110.898,111.476
2018-09-05,111.35,111.76,111.314,111.532
2018-09-06,111.522,111.53,110.519,110.726
2018-09-07,110.744,111.247,110.379,111.034
2018-09-10,111.024,111.246,110.848,111.12
2018-09-11,111.107,111.643,111.064,111.594
2018-09-12,111.621,111.651,111.114,111.255
2018-09-13,111.251,112.002,111.162,111.926
2018-09-14,111.918,112.167,111.752,112.041
2018-09-17,112.008,112.12,111.759,111.856
2018-09-18,111.838,112.389,111.664,112.362
